Country,Serious_Assault,Robbery,Bulglary,Theft,trafficking,Kidnapping,Sexual_Violence,Drug Seizures(Cannabis-type),Homicide,,,,,,,,,,,,,,,,,,,Burundi,14,#N/A
Kenya,"15,968","2,713","1,452","1,355",352,110,"5,492",8617,"2,466",,,,,,,,,,,,,,,,,,,Kenya,45,3
Japan,"24,365","2,332","76,477","3,74,497",50,228,"7,177",270.526,306,,,,,,,,,,,,,,,,,,,Madagascar,16,#N/A
Luxembourg,585,454,"4,368",10090,16,46,362,113.373,2,,,,,,,,,,,,,,,,,,,Mauritius,5,18
Italy,"65,775","31,167","1,10,887",1069965,663,198,"5,115",90097.18,376,,,,,,,,,,,,,,,,,,,United Republic of Tanzania,18,39
Cyprus,144,117,"1,687",959,9,36,33,150.55,7,,,,,,,,,,,,,,,,,,,Cameroon,48,63
Portugal,584,"11,885","26,193",88541,132,292,"2,538",14791.46,135,,,,,,,,,,,,,,,,,,,Algeria,14,30
Netherlands,"4,789","8,037","84,371",259095,952,352,"4,789",5906,132,,,,,,,,,,,,,,,,,,,Egypt,50,64
France,"2,42,910","1,00,080","3,82,910","13,81,425","1,516","3,818","41,751",67359,813,,,,,,,,,,,,,,,,,,,Botswana,7,#N/A
Slovenia,"1,398",238,"10,707",20539,25,1,427,1350.9,19,,,,,,,,,,,,,,,,,,,Eswatini,9,#N/A
Belgium,"69,363","18,954","87,691",223088,84,"1,170","7,177",41657.6,319,,,,,,,,,,,,,,,,,,,Lesotho,14,#N/A
Spain,"18,089","66,783","1,95,910",162426,193,69,"11,692",334918.525,307,,,,,,,,,,,,,,,,,,,Nigeria,32.3,#N/A
Germany,"1,37,058","38,849","4,32,730",1156422,536,"4,625","34,815",10159.8,813,,,,,,,,,,,,,,,,,,,Senegal,15,33
Peru,"26,028","70,079","3,992",101580,445,197,"9,789",467138.7,"2,435",,,,,,,,,,,,,,,,,,,Dominican Republic,46,61
Panama,"3,343","9,972",910,18562,34,35,"4,681",12952.99444,397,,,,,,,,,,,,,,,,,,,Trinidad and Tobago,6,21
Australia,"72,964","9,599","1,88,756",562833,21,482,"24,957",19200.76985,208,,,,,,,,,,,,,,,,,,,Costa Rica,24,47
Mauritius,230,814,"1,295","9,146",9,50,466,7208.6,33,,,,,,,,,,,,,,,,,,,El Salvador,31,55
Georgia,228,471,"1,605","9,558",3,4,131,48.254,91,,,,,,,,,,,,,,,,,,,Guatemala,28,51
Poland,"7,304","8,114","79,928",106923,94,246,"3,221",3620.08,287,,,,,,,,,,,,,,,,,,,Honduras,33,57
Trinidad and Tobago,600,"2,469","2,111","1,870",2,4,695,1200,494,,,,,,,,,,,,,,,,,,,Mexico,14.6,32
Croatia,798,864,"12,403",12413,29,0,476,2409,46,,,,,,,,,,,,,,,,,,,Panama,3.2,16
Greece,"1,510","4,271","65,720",67849,26,78,453,24940.861,86,,,,,,,,,,,,,,,,,,,Brazil,11,26
