Serious_Assault,Robbery,Theft,Sexual_Violence,Kidnapping,Drug Seizures(Cannabis-type)
15968,2713,1355,5492,110,8617
585,454,10090,362,46,113.37
144,117,959,33,36,150.55
584,11885,88541,2538,292,14791.46
4789,8037,259095,4789,352,5906
1398,238,20539,427,1,1350.9
3343,9972,18562,4681,35,12952.99
230,814,9146,466,50,7208.6
228,471,9558,131,4,48.25
7304,8114,106923,3221,246,3620.08
600,2469,1870,695,4,1200
798,864,12413,476,0,2409
1510,4271,67849,453,78,24940.86
1642,469,21331,705,91,229.9
657,604,14534,262,4,202.17
147,118,503,23,0,3336.41
2811,1558,40947,653,102,33821.79
830,2460,40528,451,31,403.89
305,2503,2503,128,2,7031.13
3563,3455,6143,5800,297,4987.61
178,1088,17040,226,0,2089
1284,1829,20763,313,12,3858.41
12472,841,80335,588,3,2170.29
181,229,5963,102,35,13.68
398,1233,11321,376,3,10.82
272,3163,96154,1532,311,275.51
2050,9469,208907,2118,74,34107.55
429,17957,115593,2109,37,1894.52
752,660,4491,158,0,462.86
369,397,2854,123,7,676.23
320,125,16729,648,88,4600
3745,3797,8539,4374,15,747.23
2053,11393,3088,1463,20,5103.26
4619,179,3125,360,3,198.83
3142,6984,874,6507,21,5047.51
