,Country,Serious_Assault,Robbery,Bulglary,Theft,trafficking,Kidnapping,Sexual_Violence,Drug Seizures(Cannabis-type),Homicide,,,,,,,,,,,,,,,,,,,Burundi,14,#N/A
1,Poland,"7,304","8,114","79,928",106923,94,246,"3,221",3620.08,287,,,,,,,,,,,,,,,,,,,,,
,Portugal,584,"11,885","26,193",88541,132,292,"2,538",14791.46,135,,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,"3,563","3,455","10,287",6143,23,297,"5,800",4987.61,486,,,,,,,,,,,,,,,,,,,,,
,Romania,272,"3,163","27,332",96154,334,311,"1,532",275.505,255,,,,,,,,,,,,,,,,,,,,,
2,Kenya,"15,968","2,713","1,452","1,355",352,110,"5,492",8617,"2,466",,,,,,,,,,,,,,,,,,,,,
,Hungary,"12,472",841,"28,595",80335,386,3,588,2170.29,242,,,,,,,,,,,,,,,,,,,,,
,Netherlands,"4,789","8,037","84,371",259095,952,352,"4,789",5906,132,,,,,,,,,,,,,,,,,,,,,
3,Uruguay,429,"17,957","8,372",115593,73,37,"2,109",1894.516,283,,,,,,,,,,,,,,,,,,,,,
,Honduras,"2,053","11,393","13,518","3,088",47,20,"1,463",5103.2556,"3,864",,,,,,,,,,,,,,,,,,,,,
4,Panama,"3,343","9,972",910,18562,34,35,"4,681",12952.99444,397,,,,,,,,,,,,,,,,,,,,,
,El Salvador,"3,745","3,797",261,"8,539",28,15,"4,374",747.23,"3,962",,,,,,,,,,,,,,,,,,,,,
,Dominican Republic,"3,142","6,984","6,110",874,25,21,"6,507",5047.51,"1,216",,,,,,,,,,,,,,,,,,,,,
5,Luxembourg,585,454,"4,368",10090,16,46,362,113.373,2,,,,,,,,,,,,,,,,,,,,,
,Cyprus,144,117,"1,687",959,9,36,33,150.55,7,,,,,,,,,,,,,,,,,,,,,
,Slovenia,"1,398",238,"10,707",20539,25,1,427,1350.9,19,,,,,,,,,,,,,,,,,,,,,
,Mauritius,230,814,"1,295","9,146",9,50,466,7208.6,33,,,,,,,,,,,,,,,,,,,,,
,Georgia,228,471,"1,605","9,558",3,4,131,48.254,91,,,,,,,,,,,,,,,,,,,,,
,Trinidad and Tobago,600,"2,469","2,111","1,870",2,4,695,1200,494,,,,,,,,,,,,,,,,,,,,,
,Croatia,798,864,"12,403",12413,29,0,476,2409,46,,,,,,,,,,,,,,,,,,,,,
,Slovakia,"1,642",469,"6,260",21331,88,91,705,229.9,74,,,,,,,,,,,,,,,,,,,,,
,Latvia,657,604,"6,365",14534,20,4,262,202.17,81,,,,,,,,,,,,,,,,,,,,,
,Montenegro,147,118,847,503,2,0,23,3336.41152,15,,,,,,,,,,,,,,,,,,,,,
,Belarus,830,"2,460","30,927","40,528",75,31,451,403.89,240,,,,,,,,,,,,,,,,,,,,,
,Senegal,305,"2,503",45,"2,503",4,2,128,7031.127,39,,,,,,,,,,,,,,,,,,,,,
,Lithuania,178,"1,088","2,657",17040,45,0,226,2089,129,,,,,,,,,,,,,,,,,,,,,
,Serbia,"1,284","1,829","19,675",20763,31,12,313,3858.40888,94,,,,,,,,,,,,,,,,,,,,,
,Armenia,181,229,"2,514",5963,9,35,102,13.678,70,,,,,,,,,,,,,,,,,,,,,
,Mongolia,398,"1,233","4,130",11321,118,3,376,10.816,191,,,,,,,,,,,,,,,,,,,,,
,Bosnia and Herzegovina,752,660,"2,639","4,491",48,0,158,462.86044,42,,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,369,397,"4,989",2854,70,7,123,676.226,201,,,,,,,,,,,,,,,,,,,,,
,Republic of Moldova,320,125,"6,122","16,729",232,88,648,4600,141,,,,,,,,,,,,,,,,,,,,,
,Myanmar,"4,619",179,25,"3,125",355,3,360,198.83,"1,198",,,,,,,,,,,,,,,,,,,,,
6,Greece,"1,510","4,271","65,720",67849,26,78,453,24940.861,86,,,,,,,,,,,,,,,,,,,,,
,Bulgaria,"2,811","1,558","10,161",40947,368,102,653,33821.79,103,,,,,,,,,,,,,,,,,,,,,
,Kazakhstan,"2,050","9,469","58,168","2,08,907",153,74,"2,118",34107.5466,915,,,,,,,,,,,,,,,,,,,,,
